"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
568,1.493841,568,2.45964e-7,0.05441680953856056,,
569,1.49348617,569,2.26779e-7,0.050084164526428096,,
570,1.4937079,570,2.17664e-7,0.0479867805860329,,
571,1.49415028,571,2.2962e-7,0.05053397584009024,,
572,1.49346077,572,2.47516e-7,0.054377234073142044,,
573,1.49342144,573,2.19278e-7,0.04808950463482462,,
574,1.4935863,574,2.3696e-7,0.0518767801529364,,
575,1.49338579,575,2.19245e-7,0.047915024788611774,,
576,1.49349034,576,2.3353e-7,0.05094834252727948,,
577,1.49345267,577,2.28939e-7,0.04986017889221447,,
578,1.49327159,578,2.09117e-7,0.04546438968448006,,
579,1.49336064,579,2.18674e-7,0.047460078199039336,,
580,1.49337566,580,2.26154e-7,0.04899887896413421,,
581,1.49356043,581,2.23032e-7,0.04823929037627806,,
582,1.4931159,582,2.21591e-7,0.04784526857055779,,
583,1.49284458,583,2.26911e-7,0.0489099094764126,,
584,1.49309969,584,2.11495e-7,0.04550898207335434,,
585,1.49251509,585,2.16831e-7,0.04657741378943784,,
586,1.49289656,586,2.1422e-7,0.04593801899331096,,
587,1.4925462,587,1.95574e-7,0.04186806416580376,,
588,1.4918865,588,1.91774e-7,0.040984747588403335,,
589,1.49221659,589,2.33342e-7,0.049783736025395556,,
590,1.49259818,590,2.33808e-7,0.04979860984071338,,
591,1.49245632,591,2.16927e-7,0.04612495902303032,,
592,1.49227464,592,2.21455e-7,0.047008202777076194,,
593,1.492007,593,2.02926e-7,0.043002416918877726,,
594,1.49185717,594,2.09229e-7,0.04426345382612383,,
595,1.49172723,595,1.97983e-7,0.041813911820885244,,
596,1.49158514,596,2.02843e-7,0.04276846165316204,,
597,1.491763,597,2.27167e-7,0.047816829369382426,,
598,1.49130881,598,2.10845e-7,0.04430696341445753,,
599,1.49178922,599,2.24165e-7,0.0470273867907817,,
600,1.491265,600,1.91246e-7,0.0400544685752289,,
601,1.49077606,601,1.95412e-7,0.04085889541585948,,
602,1.49171782,602,1.9498e-7,0.04070084621906563,,
603,1.49139678,603,2.02229e-7,0.0421440226031715,,
604,1.49134791,604,1.93551e-7,0.040268768191719075,,
605,1.4910785,605,2.05258e-7,0.04263385288532454,,
606,1.49121559,606,1.99873e-7,0.04144683488125101,,
607,1.49116778,607,2.04543e-7,0.04234535658274907,,
608,1.49147379,608,1.95773e-7,0.0404630933270549,,
609,1.49145329,609,2.01278e-7,0.04153257708566479,,
610,1.49124885,610,2.04689e-7,0.042167177617746965,,
611,1.49118733,611,2.00819e-7,0.041302225538543284,,
612,1.49115908,612,1.98635e-7,0.040786291290575725,,
613,1.49122632,613,2.04098e-7,0.041839659211247604,,
614,1.49092209,614,2.04136e-7,0.04177929367643036,,
615,1.49069715,615,2.02342e-7,0.041344789639848195,,
616,1.49079418,616,1.91309e-7,0.03902694473802661,,
617,1.49094725,617,2.04239e-7,0.04159713076022858,,
618,1.49101484,618,2.14626e-7,0.04364190711128563,,
619,1.49030507,619,1.88855e-7,0.03833961102382555,,
620,1.49080384,620,1.79822e-7,0.03644693381637573,,
621,1.49035728,621,2.02904e-7,0.04105904771555449,,
622,1.49045753,622,2.01635e-7,0.04073665818048733,,
623,1.49072039,623,1.93664e-7,0.039063460652636516,,
624,1.49042332,624,1.95854e-7,0.039441890229242015,,
625,1.49089086,625,1.98059e-7,0.039822124760149805,,
626,1.49046707,626,1.9911e-7,0.03996948966493698,,
627,1.49041748,627,2.02411e-7,0.04056733082014441,,
628,1.49029446,628,1.85063e-7,0.03703137332810751,,
629,1.49062479,629,2.14275e-7,0.04280857016521164,,
630,1.490738,630,2.00019e-7,0.03989702990338901,,
631,1.49032557,631,1.99372e-7,0.039704951539239565,,
632,1.4904629,632,1.95065e-7,0.038785744998259056,,
633,1.490358,633,2.13747e-7,0.04243323885793728,,
634,1.49033356,634,1.83612e-7,0.03639331926251919,,
635,1.49026608,635,1.78938e-7,0.035411042913263024,,
636,1.49004364,636,1.97732e-7,0.03906876720626522,,
637,1.48997009,637,1.89706e-7,0.03742411151911493,,
638,1.48985469,638,1.9694e-7,0.038790298256926266,,
639,1.48975039,639,1.78905e-7,0.03518288786794879,,
640,1.4897207,640,1.95026e-7,0.038293265553687686,,
641,1.490046,641,1.94113e-7,0.03805453820694387,,
642,1.48961854,642,1.88272e-7,0.03685195838483847,,
643,1.48970735,643,1.86085e-7,0.0363672329047127,,
644,1.48993814,644,1.93994e-7,0.03785404504599369,,
645,1.48970616,645,1.82552e-7,0.03556614090531002,,
646,1.48913252,646,1.68828e-7,0.03284141204459799,,
647,1.48944414,647,1.98998e-7,0.03865042688587707,,
648,1.4896158,648,1.89163e-7,0.036683524143889264,,
649,1.489624,649,1.70918e-7,0.03309428247557845,,
650,1.48945594,650,1.91752e-7,0.037071179969916934,,
651,1.48952007,651,1.91711e-7,0.037006320688931046,,
652,1.48945069,652,1.88043e-7,0.0362426078134347,,
653,1.48924446,653,1.94153e-7,0.03736291813001036,,
654,1.48915768,654,1.79547e-7,0.034499298848568,,
655,1.48949039,655,1.87007e-7,0.03587785144243459,,
656,1.48938692,656,1.74046e-7,0.03334034359674934,,
657,1.48961115,657,1.57648e-7,0.030153168867770093,,
